name,room,address,city,state,zipCode,latitude,longitude,isEarlyVotingLocation,isVotingDayLocation
Paul L. Dunbar Lancaster-Kiest Library,Classroom A & B,2008 East Kiest Boulevard,Dallas,TX,75216,32.71477235,-96.79058102,TRUE,FALSE
Randolph Reed Center,Room 106,1933 Spikes Street,Grand Prairie,TX,75051,32.73400815,-97.02976855,TRUE,FALSE
Richardson Civic Center,Parks Room,411 W Arapaho Road,Richardson,TX,75080,32.96096525,-96.73327625,TRUE,FALSE
Richland College-Garland Campus,Main Lobby,675 W Walnut Street,Garland,TX,75040,32.9163161,-96.63767179,TRUE,FALSE
Richland College-Main Campus,Guadalupe 'G' Building - Foyer Area,12800 Abrams Road,Dallas,TX,75243,32.92053885,-96.7288082,TRUE,FALSE
Rowlett Community Centre,Gymnasium B,5300 Main Street,Rowlett,TX,75088,32.903484,-96.555237,TRUE,FALSE
Sachse Senior Center,Building A - Multi-Purpose Room,3815 Sachse Road,Sachse,TX,75048,32.9731855,-96.5834332,TRUE,FALSE
Samuell Grand Recreation Center,General Purpose Room,6200 East Grand Avenue,Dallas,TX,75223,32.797895,-96.742482,TRUE,FALSE
Skyline Branch Library,Auditorium,6006 Everglade Road,Dallas,TX,75227,32.78551269,-96.69990855,TRUE,FALSE
South Garland Branch Library,The Program Room,4845 Broadway Boulevard,Garland,TX,75043,32.85523065,-96.60248573,TRUE,FALSE
University Park United Methodist Church,Caldwell Room 120,4024 Caruth Boulevard,Dallas,TX,75225,32.85889352,-96.80251762,TRUE,FALSE
Valley Ranch Library,Program Room,401 Cimarron Trail,Irving,TX,75063,32.93406595,-96.95068534,TRUE,FALSE
Wilmer Community Center,Main Room,101 Davidson Plaza,Wilmer,TX,75172,32.589819,-96.684957,TRUE,FALSE
Sam Tasby Middle School,Rm 114,7001 Fair Oaks Ave,Dallas,TX,75231,32.87234825,-96.76069142,FALSE,TRUE
Vickery Baptist Church,Multipurpose Rm,5814 Ridgecrest Rd,Dallas,TX,75231,32.8723158,-96.76196308,FALSE,TRUE
Hamilton Park United Methodist Church,Clc/Gym,11881 Schroeder Dr,Dallas,TX,75243,32.910655,-96.76386,FALSE,TRUE
Forest Meadow Jr High School,Front Office,9373 Whitehurst Dr,Dallas,TX,75243,32.9012901,-96.73971922,FALSE,TRUE
New Mount Zion Baptist Church,"Educational Bldg, Chapel",9550 Shepherd Rd,Dallas,TX,75243,32.90606045,-96.74986054,FALSE,TRUE
Moss Haven Elem School,Gym,9202 Moss Farm Ln,Dallas,TX,75243,32.8954072,-96.7437231,FALSE,TRUE
Lee Mcshan Jr Elementary School,Main Lobby,8307 Meadow Rd,Dallas,TX,75231,32.88851305,-96.76088689,FALSE,TRUE
North Dallas High School,Auditorium,3813 Mckinney Ave,Dallas,TX,75204,32.8002906,-96.8008762,FALSE,TRUE
Multiple Careers Magnet Ctr,Auditorium,4528 Rusk Ave,Dallas,TX,75204,32.8077066,-96.78436046,FALSE,TRUE
Solar Preparatory School For Girls,Cafeteria,2617 N Henderson Ave,Dallas,TX,75206,32.8162622,-96.78162011,FALSE,TRUE
Ben Milam Elem Sch - DISD,Cafeteria,4200 Mckinney Ave,Dallas,TX,75205,32.8164109,-96.7901167,FALSE,TRUE
Oaklawn Branch Library,Auditorium,4100 Cedar Springs Rd,Dallas,TX,75219,32.81237785,-96.812414,FALSE,TRUE
The Father's Church,Saints Rm,2707 Abrams Rd,Dallas,TX,75214,32.8388248,-96.7528591,FALSE,TRUE
Audelia Creek Elem School,Gym,12600 Audelia Rd,Dallas,TX,75243,32.919686,-96.71492313,FALSE,TRUE
Richland College - Lecroy Center,"Conference Room, R12",9596 Walnut St,Dallas,TX,75243,32.923532,-96.727152,FALSE,TRUE
A M Aikin Elem School,Gym,12300 Pleasant Valley Dr,Dallas,TX,75243,32.91494385,-96.72265887,FALSE,TRUE
Northwood Hills Elem Sch,Gym,14532 Meandering Way,Dallas,TX,75254,32.948362,-96.7787059,FALSE,TRUE
Spring Valley Elem School,Gym,13535 Spring Grove Ave,Dallas,TX,75240,32.93338695,-96.77520407,FALSE,TRUE
RISD Academy,Small Gym,13630 Coit Rd,Dallas,TX,75240,32.93406595,-96.76830702,FALSE,TRUE
Thurgood Marshall Elem School,Gym,9666 Ferris Branch Blvd,Dallas,TX,75243,32.9027685,-96.72532795,FALSE,TRUE
Skyview Elem School,Gym,9229 Meadowknoll Dr,Dallas,TX,75243,32.90250165,-96.73392008,FALSE,TRUE
Highland Meadows Elem School,Auditorium,8939 Whitewing Ln,Dallas,TX,75238,32.8707845,-96.68759687,FALSE,TRUE
Martha T Reilly Elem,Auditorium,11230 Lippitt Ave,Dallas,TX,75218,32.85480455,-96.68839358,FALSE,TRUE
Merriman Park Elem School,Cafeteria,7101 Winedale Dr,Dallas,TX,75231,32.8796981,-96.74004905,FALSE,TRUE
Lochwood Branch Library,Black Box Theater,11221 Lochwood Blvd,Dallas,TX,75218,32.848481,-96.68820698,FALSE,TRUE
Casa View Elem School,Auditorium Foyer,2100 N Farola Dr,Dallas,TX,75228,32.845698,-96.675373,FALSE,TRUE
Charles A Gill Elem Sch,Auditorium,10910 Ferguson Rd,Dallas,TX,75228,32.8442129,-96.66075097,FALSE,TRUE
St Pius X Church Parish,Parish Hall,3030 Gus Thomasson Rd,Dallas,TX,75228,32.83353045,-96.6667013,FALSE,TRUE
Harry Stone Recreation Center,Lg Room,2403 Millmar Dr,Dallas,TX,75228,32.82611704,-96.67430188,FALSE,TRUE
Reinhardt Elem School,Auditorium,10122 Losa Dr,Dallas,TX,75218,32.8372125,-96.69059362,FALSE,TRUE
Alex Sanger Preparatory School,Auditorium,8410 San Leandro Dr,Dallas,TX,75218,32.81397715,-96.70955058,FALSE,TRUE
W H Gaston Middle School,Auditorium Foyer,9565 Mercer Dr,Dallas,TX,75228,32.82523725,-96.69380228,FALSE,TRUE
George Truett Elem Sch,Auditorium,1811 Gross Rd,Dallas,TX,75228,32.81604205,-96.68348614,FALSE,TRUE
Grace United Meth Church,Parlor,4105 Junius St,Dallas,TX,75246,32.7877078,-96.7818705,FALSE,TRUE
Lakewood Branch Library,Auditorium,6121 Worth St,Dallas,TX,75214,32.81037485,-96.7534226,FALSE,TRUE
The Church At Junius Heights,Fellowship Hall,5429 Reiger Ave,Dallas,TX,75214,32.80057014,-96.75943986,FALSE,TRUE
Samuell Grand Rec Center,Game Rm,6200 E Grand Ave,Dallas,TX,75223,32.797895,-96.742482,FALSE,TRUE
Eduardo Mata Montessori School,Library,7420 La Vista Dr,Dallas,TX,75214,32.8065072,-96.73141079,FALSE,TRUE
Bayles Elem School,"Computer Lab, Rm 121",2444 Telegraph Ave,Dallas,TX,75228,32.8009511,-96.70686174,FALSE,TRUE
S S Conner Elem School,Auditorium,3037 Greenmeadow Dr,Dallas,TX,75228,32.8086723,-96.6941894,FALSE,TRUE
Owenwood Farm & Neighbor Space,Multi Purpose Rm,1451 John West Rd,Dallas,TX,75228,32.8075284,-96.69284385,FALSE,TRUE
Colonial Baptist Church,Main Hall,6459 Scyene Rd,Dallas,TX,75227,32.7638667,-96.71035262,FALSE,TRUE
Edna Rowe Elem School,Auditorium,4918 Hovenkamp Dr,Dallas,TX,75227,32.7855151,-96.7068034,FALSE,TRUE
Urban Park Elem School,Auditorium,6901 Military Pkwy,Dallas,TX,75227,32.7739701,-96.70171532,FALSE,TRUE
Skyline High School,Auditorium Foyer,7777 Forney Rd,Dallas,TX,75227,32.78081465,-96.69031015,FALSE,TRUE
Skyline Branch Library,Auditorium,6006 Everglade Rd,Dallas,TX,75227,32.78551269,-96.69990855,FALSE,TRUE
San Jacinto Elem School,Auditorium,7900 Hume Dr,Dallas,TX,75227,32.7570001,-96.68595727,FALSE,TRUE
Annie Webb Blanton School,Auditorium,8915 Greenmound Ave,Dallas,TX,75227,32.75192475,-96.66870487,FALSE,TRUE
Edward Titche Elem School,Auditorium,9560 Highfield Dr,Dallas,TX,75227,32.7547591,-96.65856851,FALSE,TRUE
Nueva Vida Life Assembly,Sanctuary,10747 Bruton Rd,Dallas,TX,75217,32.74852545,-96.64173023,FALSE,TRUE
John Ireland Elem School,Auditorium,1515 N Jim Miller Rd,Dallas,TX,75217,32.7394974,-96.70150753,FALSE,TRUE
Nathaniel Hawthorne School,Auditorium,7800 Umphress Rd,Dallas,TX,75217,32.74207155,-96.68888231,FALSE,TRUE
